brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
boody,"30-60% off the softest, comfiest and most breathable bras, undies and socks?! @boody’s Black Friday Sale is on right now! 🏃🏼‍♀️🏃🏼‍♀️🏃🏼‍♀️ AD",19-11-2024,1,19-11-2024,60%,0,-1,23,https://www.instagram.com/p/DCiKNBKgDN7/,Black Friday
boody,"The biggest sale of the year at @boody 🤌🏼✨ everything is 30-60% sitewide which NEVER happens, so stock up on all the cozy intimates + sleepwear/loungewear for anyone on your holiday shopping list! 

#boody #bfcm #blackfridaydeals #maternityfriendly #bambooviscose #holidaygiftideas",19-11-2024,1,19-11-2024,,1,-1,32,https://www.instagram.com/p/DCj9Q25R2m4/,
boody,"30-60% OFF SITEWIDE | Our Biggest Black Friday Sale ✨

Our Black Friday sale is live in Australia and New Zealand 🇦🇺 🇳🇿

For other regions, our Black Friday sale will start soon, so make sure you're signed up to our newsletter to be notified first ✉️",18-11-2024,1,18-11-2024,,1,51,2,https://www.instagram.com/p/DCfmn1ESiGH/,Black Friday
boody,"Style an outfit with me for my day off!
This is the comfiest loungewear I’ve ever owned and it’s easy to style for a casual outfit. 
Boody clothing is made with bamboo viscose fabric and it’s so soft!
If you’re looking for new comfy and stylish apparel, I recommend checking out Boody.

#boody #loungewear #comfyclothes #stylegram #ootd #ad",15-11-2024,0,,,0,468,26,https://www.instagram.com/p/DCYe-twSrUv/,
boody,"30-60% OFF SITEWIDE | LIMITED TIME ONLY ✨

Our Black Friday sale is now live in Australia and New Zealand 🇦🇺 🇳🇿

For other regions, our Black Friday sale will start next week - make sure you're signed up to our newsletter to be notified first ✉️",15-11-2024,1,15-11-2024,,1,48,3,https://www.instagram.com/p/DCaBuDjzys0/,
boody,"Hear me out, I never could’ve imagined wearing a bra + briefs that could feel so smooth and almost barely there on my skin ! #ad 
 @boody is made from bamboo viscose and I’m obsessed with how comfortable and breathable their products are!

I’m trying on their wireless bra and briefs and they’re literally the perfect everyday set,so cozy!
I love a brief that sits high on my waist and a wireless bra that doesn’t dig in my skin! This fabric is perfection as far as I’m concerned.

This season I’m in craves ease and comfort and I’m blown away by not only how stylish these pieces are but truly by the way they make me look and feel! Boody is non toxic, and PETA-Vegan certified! You know I love my sustainability!

Which set do you like the best? 1? 2? Or 3?
•
•
•
#sustainableblogger #everyboody #bodypositivity #bodyconfidence #browngirlselfcare #sustainablefashion #blackfashionbloggers #creatorsofcolor #loungewearallday #shapewear #melaninbloggers #ugccreator #amplifymelanatedvoices",15-11-2024,0,,,0,-1,40,https://www.instagram.com/p/DCaHOP5yUFp/,
boody,"30-60% OFF SITEWIDE | BLACK FRIDAY SALE ✨

Our Black Friday sale is now live in Australia and New Zealand 🇦🇺 🇳🇿

For other regions, our Black Friday sale will start next week - make sure you're signed up to our newsletter to be notified first ✉️",14-11-2024,1,14-11-2024,,1,55,9,https://www.instagram.com/p/DCV1TlXSinr/,
boody,"Effortless comfort, sustainable style. Styling my Boody faves—the Full Bust Wireless Bra, Classic Crew Neck T-Shirt, Downtime Wide Leg Lounge Pant, and Long Jumpsuit. #ad",13-11-2024,0,,,0,-1,8,https://www.instagram.com/p/DCUxFGSADB8/,
boody,"30% OFF GIFTBOXES | Save on gifts this year, your favourite products conveniently wrapped and ready to go ✨",13-11-2024,1,13-11-2024,,0,44,0,https://www.instagram.com/p/DCTThzey4Oz/,
boody,@sophielynn styles our Seamfree Padded Crop Bra and Boyleg Briefs for a date with friends 👯‍♀️,12-11-2024,0,,,0,339,16,https://www.instagram.com/p/DCSaSp4u8O5/,
