y,snapshot,event,sitewide,discount
1,20240413123103,,0,up to 50% off
1,20240415141500,,0,up to 50% off
1,20240427192648,,0,30% off
1,20240429172447,,0,30% off
1,20240501144658,,0,30% off
1,20240503161321,,0,30% off
1,20240505183336,,0,30% off
1,20240505183402,,0,30% off
1,20240505183417,,0,30% off
1,20240505183430,,0,30% off
1,20240518071839,,0,20% off
1,20240518095433,,0,20% off
1,20240519144830,,0,20% off
1,20240520025651,,0,20% off
1,20240520080919,,0,20% off
1,20240520095409,,0,20% off
1,20240520181629,,0,20% off
1,20240520183709,,0,20% off
1,20240529033627,,1,20% off
1,20240627195528,Generic Sale,1,up to 60% off
1,20240701142935,Generic Sale,1,up to 60% off
1,20240702200158,,1,up to 60% off
1,20240901182403,,0,20% off
1,20240927071442,,0,up to 50% off
1,20240930175015,,0,up to 50% off
1,20241001064928,,0,up to 50% off
1,20241007103417,,0,up to 50% off
1,20241026092355,,0,up to 60% off
1,20241112085102,Singles Day,1,22% off
1,20241115205220,Black Friday,1,20% off
1,20241119040138,Black Friday,1,
1,20241119040139,Black Friday,1,
1,20241121094822,Black Friday,1,up to 70% off
1,20241121194507,Black Friday,1,up to 70% off
1,20241121221430,Black Friday,1,up to 70% off
1,20241121233008,Black Friday,1,up to 70% off
1,20241122085119,Black Friday,1,up to 70% off
1,20241122182521,Black Friday,1,up to 70% off
1,20241124140219,Black Friday,1,up to 70% off
1,20241127021429,Black Friday,1,up to 70% off
1,20241129143926,Black Friday,1,up to 70% off
1,20241129170701,Black Friday,1,up to 70% off
1,20241201000827,Black Friday,1,up to 70% off
1,20241202131038,Black Friday,1,up to 70% off
1,20241202142645,Black Friday,1,up to 70% off
1,20241203073513,Black Friday,1,up to 70% off
1,20241204182203,Black Friday,1,up to 70% off
1,20241205143831,Black Friday,1,up to 70% off
1,20241224193526,Summer/Winter Sale,0,up to 60% off
1,20241224203435,Summer/Winter Sale,0,up to 60% off
1,20241225102614,Summer/Winter Sale,0,up to 60% off
1,20241226014007,Summer/Winter Sale,0,up to 60% off
1,20241227125516,Summer/Winter Sale,0,up to 60% off
1,20241228050344,Summer/Winter Sale,0,up to 60% off
1,20241228211007,Summer/Winter Sale,0,up to 60% off
