y,snapshot,event,sitewide,discount
1,20240708004445,Black Friday,1,
1,20240714045922,Black Friday,1,
1,20240716233006,Black Friday,1,
1,20240718022518,Black Friday,1,
1,20240808033404,Black Friday,1,
1,20240808033422,Black Friday,1,
1,20240808033423,Black Friday,1,
1,20240809000149,Black Friday,1,
1,20240811010318,Black Friday,1,
1,20240812202131,Black Friday,1,
1,20240813005333,Black Friday,1,
1,20240813033523,Black Friday,1,
1,20240906010758,Black Friday,1,
1,20240906010759,Black Friday,1,
1,20240919225713,Black Friday,1,
1,20241005161650,Black Friday,1,
1,20241015155610,Black Friday,1,
1,20241115055358,Black Friday,1,
1,20241115065635,Black Friday,1,
1,20241117005741,Black Friday,1,
1,20241117010232,Black Friday,1,
1,20241203155217,Black Friday,1,
1,20241203155218,Black Friday,1,
1,20241209054820,Black Friday,1,
