ds,yhat
2012-08-20,0.08874395168632948
2012-08-23,0.1433983949399127
2012-08-28,0.06757763058346489
2012-09-01,-0.030070486171262588
2012-09-03,-0.05189744174645815
2012-09-07,-0.031207200129859215
2012-09-11,-0.014372595692838962
2012-10-01,-0.05982339598926616
2013-02-04,-0.06025591365394833
2013-03-05,0.018958001864940205
2013-03-06,0.03451896236534045
2013-04-04,-0.002440433984077563
2013-04-05,-0.022775267848918916
2013-04-16,0.019973618693672313
2013-04-17,0.049103113486167374
2013-04-19,0.02292745214684545
2013-04-22,-0.005843249600913712
2013-04-23,-0.0001304120208343298
2013-04-27,-0.03855519074370241
2013-04-28,-0.045251348162645394
2013-05-01,0.0030710544480636055
2013-05-05,-0.023485805075573223
2013-05-06,-0.018919886598323783
2013-05-07,-0.0006745721856921752
2013-05-09,0.012151361076732346
2013-05-10,0.0029897894643754024
2013-05-13,0.013738013324945484
2013-05-14,0.03572438585362381
2013-05-16,0.051027234375956326
2013-05-20,0.032280743412839194
2013-05-21,0.047347705570665186
2013-05-24,0.03962075595864166
2013-05-27,0.033301330700569336
2013-06-02,-0.015346456315439554
2013-06-04,-0.024332949730225636
2013-06-10,-0.059139439758413945
2013-06-16,-0.02731272128649239
2013-06-21,-0.030576052340377684
2013-06-27,-0.01249010824278014
2013-07-01,-0.04065780691339974
2013-07-03,-0.012758782543168213
2013-07-07,-0.05867730724462952
2013-07-10,-0.0045100053666379675
2013-07-13,-0.026691998929339936
2013-07-16,-0.023675396110449123
2013-07-18,-0.02994459281368464
2013-07-19,-0.04841495409646891
2013-07-25,0.018544290906463597
2013-07-31,0.11612867977930319
2013-08-02,0.07555908201281596
2013-08-03,0.058667990619322236
2013-08-15,0.012481394216796591
2013-08-25,0.132936897101639
2013-09-02,-0.021111523025384535
2013-09-04,0.006231869019562308
2013-09-14,-0.021534052378428765
2013-09-15,-0.035561687583616455
2013-09-21,-0.03675971653214284
2013-09-22,-0.037943941435466644
2013-09-23,-0.030903443522868956
2013-09-26,-0.003325072998378892
2013-09-29,-0.03541005985767788
2013-10-01,-0.021781680663689434
2013-10-04,-0.02299609337626723
2013-10-13,-0.019726481670893047
2013-10-14,-0.0226623474135592
2013-10-24,0.03943939574812001
2013-10-27,0.013670953506428017
2013-10-28,0.010155032008750616
2013-11-03,-0.025917294168450886
2013-11-05,-0.0050987071741202955
2013-11-06,0.020131468083181253
2013-11-07,0.008841345296926345
2013-11-09,-0.0005046316487720311
2013-11-11,0.0022422879004745516
2013-11-12,0.020466675447371255
2013-11-13,0.04405530847151505
2013-11-18,0.012115820044759248
2013-11-19,0.02732030627442021
2013-11-26,-0.011204126954729707
2013-11-27,0.004101822533235048
2013-11-28,-0.01618245736274609
2013-11-29,-0.032740961469398464
2013-11-30,-0.037033913016903425
2013-12-01,-0.04126493102740163
2013-12-02,-0.035242641786978224
2013-12-03,-0.014498473769024457
2013-12-05,0.0018064174830243716
2013-12-06,-0.008322752518390313
2013-12-07,-0.010072744086094501
2013-12-08,-0.01577942356511371
2013-12-09,-0.014811449349141546
2013-12-10,-0.0017711384691683433
2013-12-11,0.01609959949791423
2013-12-12,-0.003678901617464401
2013-12-13,-0.021676460912496937
2013-12-14,-0.02908289620945442
2013-12-15,-0.03770833016106158
2013-12-16,-0.03688788826549359
2013-12-17,-0.021647298536494636
2013-12-18,0.011338141146887512
2013-12-19,-0.0008153811254845121
2013-12-22,-0.0008092341772203623
2013-12-25,0.3302957784997359
2013-12-27,-0.018331527628813484
2014-01-04,-0.01757826912565365
2014-01-05,-0.023569204111529844
2014-01-09,-0.006416996271015718
2014-01-13,-0.028189110117499562
2014-01-15,0.014325272261577239
2014-01-20,-0.019292968604516486
2014-01-24,-0.019900413207301335
2014-01-25,-0.024769321957685476
2014-01-26,-0.030811061098065612
2014-01-28,-0.010407324050245394
2014-01-30,-0.002504170756757216
2014-02-02,-0.032144176959824855
2014-02-03,-0.03368231786982243
2014-02-04,-0.02156260371585774
2014-02-06,-0.01802933937099245
2014-02-09,-0.0174833891216528
2014-02-10,0.0026885229119451605
2014-02-14,0.10871167416370132
2014-02-18,0.1761304285978845
2014-02-19,0.19786165130669492
2014-02-20,0.1767754449928753
2014-02-21,0.15286281002462207
2014-02-22,0.13590657953188134
2014-02-23,0.11533122725203815
2014-02-24,0.10311468222972414
2014-02-25,0.10543631784203054
2014-02-26,0.11522730323067681
2014-02-27,0.08963832766918557
2014-02-28,0.06734557266476429
2014-03-03,0.039681350463476886
2014-03-04,0.04912851778682771
2014-03-06,0.042450660652139656
2014-03-08,0.015386703494147844
2014-03-09,0.00796654798149871
2014-03-10,0.012013378049188188
2014-03-12,0.06252848733350333
2014-03-13,0.05726613058664942
2014-03-14,0.05479034957895063
2014-03-15,0.06202693840681848
2014-03-16,0.06537132953158395
2014-03-17,0.07404187087371797
2014-03-18,0.09211982604472875
2014-03-19,0.11137771654042986
2014-03-20,0.08886587377015243
2014-03-21,0.06416022157338128
2014-03-22,0.04682761550482924
2014-03-23,0.026313794528333538
2014-03-24,0.014837314378941407
2014-03-25,0.018966729489832267
2014-03-26,0.03206052832156587
2014-03-27,0.011606073274103264
2014-03-29,-0.005834309897102163
2014-03-31,-0.0017028162970242101
2014-04-01,0.017677693636509943
2014-04-03,0.024524862422339956
2014-04-04,0.006940090938015831
2014-04-06,-0.016441809846582632
2014-04-07,-0.02158737828804151
2014-04-08,-0.011954810550449228
2014-04-09,0.005979533617862255
2014-04-10,-0.009928217540505425
2014-04-11,-0.020400405553063987
2014-04-13,-0.013309813358340673
