y,snapshot,event,sitewide,discount
0,20100223190205,,0,
0,20100327111115,,0,
0,20100528112405,,0,
0,20100529215526,,0,
0,20101230210721,,0,
0,20110128213014,,0,
0,20110821022746,,0,
0,20110831075102,,0,
0,20110902123129,,0,
0,20111021134414,,0,
0,20111121043102,,0,
0,20111221205823,,0,
0,20120121202459,,0,
0,20120222051800,,0,
0,20120325131845,,0,
0,20120505050653,,0,
0,20120611003103,,0,
0,20120724025314,,0,
0,20130323082325,,0,
0,20130409050325,,0,
0,20130409162909,,0,
0,20130420123510,,0,
0,20130420123513,,0,
0,20130427221912,,0,
0,20130502122826,,0,
0,20130503005156,,0,
0,20130503005201,,0,
0,20130510055920,,0,
0,20130912061825,,0,
0,20131215092659,,0,
0,20140114215843,,0,
0,20140125193238,,0,
0,20140125193244,,0,
0,20140213110917,,0,
0,20140222125636,,0,
0,20140306012717,,0,
0,20140516152539,,0,
0,20140614032912,,0,
0,20140616002245,,0,
0,20140619032351,,0,
0,20140626035434,,0,
0,20140627163406,,0,
0,20140723100734,,0,
0,20140814060139,,0,
0,20140819095733,,0,
0,20140823093150,,0,
0,20140922163706,,0,
0,20141010222331,,0,
0,20141018025719,,0,
0,20141101170158,,0,
1,20141206173218,,1,10% off
1,20141221025826,,1,10% off
1,20141223005802,,1,10% off
1,20141225014539,,1,10% off
0,20150101115425,,0,
0,20150102032646,,0,
0,20150131005605,,0,
0,20150226063645,,0,
0,20150227152231,,0,
0,20150227210002,,0,
0,20150308090417,,0,
0,20150309200153,,0,
0,20150312185440,,0,
0,20150320053725,,0,
0,20150321121638,,0,
0,20150331154003,,0,
0,20150412120637,,0,
0,20150418072818,,0,
0,20150502060045,,0,
0,20150504053913,,0,
0,20150521081753,,0,
1,20150602034639,Eofy,0,25% off
0,20150702231705,,0,
0,20150804144847,,0,
0,20150810183718,,0,
0,20150820184544,,0,
0,20150904030421,,0,
0,20150919192713,,0,
0,20160301113105,,0,
0,20160310095728,,0,
1,20160623092427,Eofy,1,15% off
0,20160926032017,,0,
0,20161202232439,,0,
0,20161202232504,,0,
0,20170204204635,,0,
0,20170219001822,,0,
0,20170226062007,,0,
0,20170425114336,,0,
0,20180226033823,,0,
0,20180312065506,,0,
0,20180313071852,,0,
0,20180506183843,,0,
0,20180514231445,,0,
1,20180630033746,End Of Financial Year,0,up to 20% off
0,20180903034442,,0,
0,20190112111031,,0,
0,20190117105357,,0,
0,20190120151415,,0,
0,20190122014412,,0,
0,20190227072206,,0,
0,20190228161232,,0,
0,20190303054351,,0,
0,20190303151645,,0,
0,20190305220253,,0,
0,20190306215320,,0,
0,20190324001302,,0,
0,20190623093343,,0,
0,20191222000404,,0,
0,20191222034859,,0,
0,20200226171328,,0,
0,20200229140859,,0,
0,20200306031813,,0,
0,20200309231633,,0,
0,20200322225812,,0,
0,20200327125153,,0,
0,20200408213331,,0,
0,20200416065850,,0,
0,20200416201627,,0,
0,20200420142617,,0,
0,20200421192755,,0,
0,20200709141030,,0,
0,20200808151624,,0,
0,20200809040300,,0,
0,20200809092237,,0,
0,20200820121016,,0,
0,20201021123725,,0,
0,20201031213435,,0,
0,20201101013606,,0,
0,20201108135719,,0,
0,20201202163141,,0,
0,20210118172854,,0,
0,20210127123443,,0,
0,20210223222252,,0,
0,20210225012849,,0,
0,20210304035526,,0,
0,20210305205020,,0,
0,20210308114704,,0,
0,20210507062739,,0,
0,20210516032239,,0,
0,20210602073858,,0,
0,20210614073707,,0,
0,20210710163717,,0,
0,20210727110503,,0,
0,20210731125702,,0,
0,20210802111140,,0,
0,20210924064056,,0,
0,20211002092618,,0,
0,20211003101655,,0,
0,20211019174103,,0,
0,20211021025314,,0,
1,20211207093712,,0,
0,20220121060303,,0,
0,20220125175536,,0,
0,20220302010302,,0,
0,20220319073435,,0,
0,20220331061416,,0,
0,20220424031021,,0,
0,20220706044245,,0,
0,20220707035443,,0,
0,20220712053234,,0,
0,20220729020252,,0,
0,20220807165023,,0,
0,20220810020808,,0,
0,20221018091654,,0,
0,20221025070021,,0,
0,20221208144245,,0,
0,20230130004522,,0,
0,20230222220119,,0,
0,20230228111733,,0,
0,20230228193545,,0,
0,20230322132136,,0,
0,20230324005545,,0,
0,20230402111148,,0,
0,20230529174614,,0,
0,20230531070056,,0,
0,20230902010853,,0,
0,20231018102525,,0,
0,20231018102652,,0,
0,20231021203629,,0,
0,20231025135137,,0,
0,20231029071052,,0,
0,20231029071150,,0,
0,20231128185645,,0,
0,20231129213136,,0,
0,20231207172617,,0,
0,20231209230118,,0,
0,20231216220416,,0,
0,20240228064301,,0,
0,20240228233229,,0,
0,20240304202251,,0,
0,20240306083452,,0,
0,20240313073341,,0,
0,20240317023153,,0,
0,20240402200035,,0,
0,20240506044130,,0,
0,20240510172036,,0,
0,20240510221634,,0,
0,20240511062542,,0,
0,20240511062729,,0,
0,20240602055114,,0,
1,20240614211244,Eofy,1,up to 40% off
1,20240618060714,Eofy,1,up to 40% off
0,20240620013720,,0,
0,20240808050425,,0,
1,20240814152050,,1,20% off
0,20240821005321,,0,
0,20240907182518,,0,
0,20240907203244,,0,
0,20240907211445,,0,
0,20240913161758,,0,
0,20240914090946,,0,
0,20241002080956,,0,
0,20241003044828,,0,
0,20241003044829,,0,
0,20241003044900,,0,
0,20241009042542,,0,
0,20241015230200,,0,
0,20241022151631,,0,
1,20241123021509,Black Friday,1,20% off
1,20241201041648,Black Friday,1,20% off
1,20241201044255,Black Friday,1,20% off
