brand,y,event,sitewide,discount,start_date,end_date,snapshot
Skwosh,1,Cyber Monday,1,up to 30% off,28/11/2018,28/11/2018,20181128060120
Skwosh,1,Summer/Winter Sale,0,,04/10/2024,04/10/2024,20241004095014
Skwosh,1,Summer/Winter Sale,0,,14/10/2024,14/10/2024,20241014110947
Skwosh,1,Black Friday,1,up to 60% off,30/11/2024,30/11/2024,20241130112057
